R_version	name	version	date_time	hash	binary_location	status
4.2.0	ATACseqQC	1.20.2	2022-09-05T14:12:32Z	8264f5532d0ff2c7a4568a1f9670d9a1	/workspace/rst/cache_R_4_2/library/ATACseqQC/1.20.2/8264f5532d0ff2c7a4568a1f9670d9a1/ATACseqQC	available
4.2.0	AnnotationDbi	1.58.0	2022-09-05T14:12:32Z	f1e7a67c09b9d2fa939bb9945b7febc5	/workspace/rst/cache_R_4_2/library/AnnotationDbi/1.58.0/f1e7a67c09b9d2fa939bb9945b7febc5/AnnotationDbi	available
4.2.0	AnnotationFilter	1.20.0	2022-09-05T14:12:32Z	4222144c2d69132a86230210a9c0f543	/workspace/rst/cache_R_4_2/library/AnnotationFilter/1.20.0/4222144c2d69132a86230210a9c0f543/AnnotationFilter	available
4.2.0	AnnotationForge	1.38.1	2022-09-05T14:28:13Z	13f4bca34b5afe0d8659fd4a9892c6b7	/workspace/rst/cache_R_4_2/library/AnnotationForge/1.38.1/13f4bca34b5afe0d8659fd4a9892c6b7/AnnotationForge	available
4.2.0	AnnotationHub	3.4.0	2022-09-05T14:12:32Z	d5f9b63061f9882889ba0541bb321e38	/workspace/rst/cache_R_4_2/library/AnnotationHub/3.4.0/d5f9b63061f9882889ba0541bb321e38/AnnotationHub	available
4.2.0	BBmisc	1.12	2022-09-05T14:28:31Z	8d139ce48e476ed9b7889a17de4a3fc1	/workspace/rst/cache_R_4_2/library/BBmisc/1.12/8d139ce48e476ed9b7889a17de4a3fc1/BBmisc	available
4.2.0	BH	1.78.0.0	2022-09-05T14:12:35Z	6abdc46c9cf51af679e5b02ed8235bd8	/workspace/rst/cache_R_4_2/library/BH/1.78.0.0/6abdc46c9cf51af679e5b02ed8235bd8/BH	available
4.2.0	BSgenome	1.64.0	2022-09-05T14:12:41Z	2aef44f7c00949b7df23a6ef3845723a	/workspace/rst/cache_R_4_2/library/BSgenome/1.64.0/2aef44f7c00949b7df23a6ef3845723a/BSgenome	available
4.2.0	BSgenome.Drerio.UCSC.danRer11	1.4.2	2022-09-05T14:30:47Z	7d19a8ba982bc0158fd087f0e8f54c6b	/workspace/rst/cache_R_4_2/library/BSgenome.Drerio.UCSC.danRer11/1.4.2/7d19a8ba982bc0158fd087f0e8f54c6b/BSgenome.Drerio.UCSC.danRer11	available
4.2.0	BSgenome.Drerio.blaserlabgenotyping.dr11	0.0.0.9002	2022-09-06T13:24:32Z	daeff551d4fda0e32138d5f411008905	/workspace/rst/cache_R_4_2/library/BSgenome.Drerio.blaserlabgenotyping.dr11/0.0.0.9002/daeff551d4fda0e32138d5f411008905/BSgenome.Drerio.blaserlabgenotyping.dr11	available
4.2.0	BSgenome.Hsapiens.UCSC.hg19	1.4.3	2022-09-05T14:34:51Z	4fbf8c98ac9a2f7492e9e529ff849f4a	/workspace/rst/cache_R_4_2/library/BSgenome.Hsapiens.UCSC.hg19/1.4.3/4fbf8c98ac9a2f7492e9e529ff849f4a/BSgenome.Hsapiens.UCSC.hg19	available
4.2.0	BSgenome.Hsapiens.UCSC.hg38	1.4.4	2022-09-05T14:38:46Z	8101c14f85b1371f471356c263806876	/workspace/rst/cache_R_4_2/library/BSgenome.Hsapiens.UCSC.hg38/1.4.4/8101c14f85b1371f471356c263806876/BSgenome.Hsapiens.UCSC.hg38	available
4.2.0	Biobase	2.56.0	2022-09-05T14:12:41Z	31bf9baf3281475bf28a08923b5725d6	/workspace/rst/cache_R_4_2/library/Biobase/2.56.0/31bf9baf3281475bf28a08923b5725d6/Biobase	available
4.2.0	BiocFileCache	2.4.0	2022-09-05T14:12:41Z	72c9e28c519ac83db5ddeecaf2c45e58	/workspace/rst/cache_R_4_2/library/BiocFileCache/2.4.0/72c9e28c519ac83db5ddeecaf2c45e58/BiocFileCache	available
4.2.0	BiocGenerics	0.42.0	2022-09-05T14:12:41Z	1b66a0d3931a99b1123e30eec25049aa	/workspace/rst/cache_R_4_2/library/BiocGenerics/0.42.0/1b66a0d3931a99b1123e30eec25049aa/BiocGenerics	available
4.2.0	BiocIO	1.6.0	2022-09-05T14:12:41Z	a3914af1f4612a0b762d543d88386fcc	/workspace/rst/cache_R_4_2/library/BiocIO/1.6.0/a3914af1f4612a0b762d543d88386fcc/BiocIO	available
4.2.0	BiocManager	1.30.18	2022-09-05T14:12:41Z	fead2b2a69ec7155cb58fe73bb7b21f3	/workspace/rst/cache_R_4_2/library/BiocManager/1.30.18/fead2b2a69ec7155cb58fe73bb7b21f3/BiocManager	available
4.2.0	BiocNeighbors	1.14.0	2022-09-05T14:41:00Z	1b1ab40cbdd6b9f2322e5c614f8c6229	/workspace/rst/cache_R_4_2/library/BiocNeighbors/1.14.0/1b1ab40cbdd6b9f2322e5c614f8c6229/BiocNeighbors	available
4.2.0	BiocParallel	1.30.3	2022-09-05T14:12:41Z	764f0ad05faf67665d6338c6fc70b044	/workspace/rst/cache_R_4_2/library/BiocParallel/1.30.3/764f0ad05faf67665d6338c6fc70b044/BiocParallel	available
4.2.0	BiocSingular	1.12.0	2022-09-05T14:41:54Z	4ff335f38db693c04a1bd1e19b7cd888	/workspace/rst/cache_R_4_2/library/BiocSingular/1.12.0/4ff335f38db693c04a1bd1e19b7cd888/BiocSingular	available
4.2.0	BiocVersion	3.15.2	2022-09-05T14:12:41Z	af710994b748188390d83f08ccec03a1	/workspace/rst/cache_R_4_2/library/BiocVersion/3.15.2/af710994b748188390d83f08ccec03a1/BiocVersion	available
4.2.0	Biostrings	2.64.1	2022-09-05T14:12:41Z	7a63d985f2ea573b7f0fa11553d09611	/workspace/rst/cache_R_4_2/library/Biostrings/2.64.1/7a63d985f2ea573b7f0fa11553d09611/Biostrings	available
4.2.0	CNEr	1.32.0	2022-09-05T14:12:41Z	341dc41e11d97992ca8fee495599f1df	/workspace/rst/cache_R_4_2/library/CNEr/1.32.0/341dc41e11d97992ca8fee495599f1df/CNEr	available
4.2.0	Cairo	1.6.0	2022-09-05T14:42:15Z	498ec900c9ad087117eb57e0ff62a1cf	/workspace/rst/cache_R_4_2/library/Cairo/1.6.0/498ec900c9ad087117eb57e0ff62a1cf/Cairo	available
4.2.0	CellChat	1.5.0	2022-09-05T14:45:18Z	80c3383fbf865c9956c8ec13c356369f	/workspace/rst/cache_R_4_2/library/CellChat/1.5.0/80c3383fbf865c9956c8ec13c356369f/CellChat	available
4.2.0	ChIPpeakAnno	3.30.1	2022-09-05T14:12:41Z	fa3859e0233813f828548cd31f0b7899	/workspace/rst/cache_R_4_2/library/ChIPpeakAnno/3.30.1/fa3859e0233813f828548cd31f0b7899/ChIPpeakAnno	available
4.2.0	ChIPseeker	1.32.0	2022-09-05T14:48:31Z	c18011628a93cf2922f15c189af209d3	/workspace/rst/cache_R_4_2/library/ChIPseeker/1.32.0/c18011628a93cf2922f15c189af209d3/ChIPseeker	available
4.2.0	ChrAccR	0.9.17	2022-09-06T14:24:55Z	31d2351538597f75d8e174244a305eb3	/workspace/rst/cache_R_4_2/library/ChrAccR/0.9.17/31d2351538597f75d8e174244a305eb3/ChrAccR	available
4.2.0	ChrAccRex	0.2	2022-09-06T14:26:40Z	9dcb7bef250b5961eccc56af2abdc004	/workspace/rst/cache_R_4_2/library/ChrAccRex/0.2/9dcb7bef250b5961eccc56af2abdc004/ChrAccRex	available
